"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","objectName","iteration","reestrCode","objectType","object_id","unitName","unitType"
"Бондар Михайло Леонтійович","Верховна Рада України","Народний депутат України","nacp_c61fc62b-0627-4b86-9b2b-366063762e1d","Бондар","FALSE","Леонтійович",2018-01-17,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_c61fc62b-0627-4b86-9b2b-366063762e1d","Михайло","Всеукраїнська організація Самооборона Майдану","1485763034846","39344056","Громадське об’єднання","1485763034846",NA,NA
"Шахов Сергій Володимирович","Верховна Рада України","народний депутат","nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Шахов","FALSE","Володимирович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Сергій","Благодійна організація ""Всеукраїнський благодійний фонд ""Народна довіра""",NA,"38969442","Благодійна організація","1476187798133",NA,NA
"Шахов Сергій Володимирович","Верховна Рада України","народний депутат","nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Шахов","FALSE","Володимирович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Сергій","Благодійна організація ""Благодійний фонд Сергія Шахова""",NA,"34986809","Благодійна організація","1476188738016",NA,NA
"Шахов Сергій Володимирович","Верховна Рада України","народний депутат","nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Шахов","FALSE","Володимирович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Сергій","Благодійна організація ""Фонд Сергія Шахова""",NA,"39368805","Благодійна організація","1476187930620",NA,NA
"Шахов Сергій Володимирович","Верховна Рада України","народний депутат","nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Шахов","FALSE","Володимирович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Сергій","Громадська організація ""Всеукраїнське об'єднання ""Народна довіра""",NA,"38726735","Громадське об’єднання","1476187753300",NA,NA
"Шахов Сергій Володимирович","Верховна Рада України","народний депутат","nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Шахов","FALSE","Володимирович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Сергій","Громадська організація ""Всеукраїнське об'єднання ""Народна довіра""",NA,"38726735","Громадське об’єднання","1476188227491","Рада","Керівні органи"
"Шахов Сергій Володимирович","Верховна Рада України","народний депутат","nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Шахов","FALSE","Володимирович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Сергій","Благолійна організація ""Благодійний фонд Сергія Шахова""",NA,"34986809","Благодійна організація","1476188994695","засновник","Наглядові органи"
"Шахов Сергій Володимирович","Верховна Рада України","народний депутат","nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Шахов","FALSE","Володимирович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Сергій","Благодійна організація ""Всеукраїнський благодійний фонд ""Народна довіра""",NA,"38969442","Благодійна організація","1476188391843","Правління","Керівні органи"
"Шахов Сергій Володимирович","Верховна Рада України","народний депутат","nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Шахов","FALSE","Володимирович",2018-03-12,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_2ea1f444-a2ae-4036-88c6-be973bfde3a8","Сергій","Благодійна організація ""Фонд Сергія Шахова""",NA,"39368805","Благодійна організація","1476188453202","Правління","Керівні органи"
"Сажко Сергій Миколайович","Верховна Рада України","Народний депутат України","nacp_64ccd9c3-1608-427c-bc88-ce05355a1cd4","Сажко","FALSE","Миколайович",2018-03-13,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_64ccd9c3-1608-427c-bc88-ce05355a1cd4","Сергій","Мар'їнська районна громадська організація ""Українська Спілка ветеранів Афганістану (воїнів-інтернаціоналістів)","1477585964403","34335356","Громадське об’єднання","1477585964403",NA,NA
"Лінько Дмитро Володимирович","Верховна Рада України","Народний депутат України","nacp_ad0b797e-ef67-4257-9682-dd4c22304ff3","Лінько","FALSE","Володимирович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_ad0b797e-ef67-4257-9682-dd4c22304ff3","Дмитро","Радикальна партія Олега Ляшка","1490104555606","00015622","Громадське об’єднання","1490104555606",NA,NA
"Заліщук Світлана Петрівна","Верховна Рада України","Народний Депутат","nacp_83d1f53e-1ff3-49a4-87d0-0ce7b72d4d19","Заліщук","FALSE","Петрівна",2018-03-31,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_83d1f53e-1ff3-49a4-87d0-0ce7b72d4d19","Світлана","""Центр ЮЕЙ"" ",NA,"36633761","Громадське об’єднання","1476883039726",NA,NA
"Сисоєнко Ірина Володимирівна","Верховна Рада","Народний Депутат України","nacp_153bd589-5449-4dcf-b78e-ab4b64c7d2d1","Сисоєнко","FALSE","Володимирівна",2018-03-28,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_153bd589-5449-4dcf-b78e-ab4b64c7d2d1","Ірина","Київська обласна організація Політичної партії Об'єднання ""Самопоміч""","1490961133115","39922721","Громадське об’єднання","1490961133115",NA,NA
"Тимчук Дмитро Борисович","Верховна Рада України","Народний депутат України","nacp_496421a3-2b3f-48df-90b3-937c43b8e490","Тимчук","FALSE","Борисович",2018-03-22,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_496421a3-2b3f-48df-90b3-937c43b8e490","Дмитро","Національна спілка журналістів України",NA,"00027140","Громадське об’єднання","1476875648982",NA,NA
"Масоріна Олена Сергіївна","Верховна Рада України","Народний депутат України","nacp_0f33860a-2e56-4442-8b9d-bf6c42870afe","Масоріна","FALSE","Сергіївна",2018-03-20,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0f33860a-2e56-4442-8b9d-bf6c42870afe","Олена","БЛАГОДІЙНА ОРГАНІЗАЦІЯ ""БЛАГОДІЙНИЙ ФОНД ""ВОЛОНТЕРСЬКА СОТНЯ ""УКРАЇНА-СВІТ""","1490102605716","39282215","Благодійна організація","1490102605716",NA,NA
"Корчик Віталій Андрійович","Верховна Рада України","Народний депутат України","nacp_5230e9ec-ebce-49c2-b807-839bd5d3269a","Корчик","FALSE","Андрійович",2018-03-29,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5230e9ec-ebce-49c2-b807-839bd5d3269a","Віталій","Чорнобильська асоціація народних депутатів України","1490885490504","40827389","Громадське об’єднання","1490885490504",NA,NA
"Мепарішвілі Хвича Нодарович","Управління справами Верховної Ради України","народний депутат України","nacp_93d3c499-1d44-4d89-9753-82d915c632d0","Мепарішвілі","FALSE","Нодарович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_93d3c499-1d44-4d89-9753-82d915c632d0","Хвича","ГО ""Грузинське Земляцтво""","1477607165386","35138658","Громадське об’єднання","1477607165386","Керівник","Керівні органи"
"Мепарішвілі Хвича Нодарович","Управління справами Верховної Ради України","народний депутат України","nacp_93d3c499-1d44-4d89-9753-82d915c632d0","Мепарішвілі","FALSE","Нодарович",2018-03-23,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_93d3c499-1d44-4d89-9753-82d915c632d0","Хвича","Благодійна організація ""Благодійний фонд народного депутата України Хвичі Мепарішвілі ""Майбутнє України""","1490275082672","38967555","Благодійна організація","1490275082672","Правління організації","Керівні органи"
"Арешонков Володимир Юрійович","Верховна Рада України","Народний депутат України","nacp_768dd957-8066-4215-8143-4d852f28baaa","Арешонков","FALSE","Юрійович",2018-03-21,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_768dd957-8066-4215-8143-4d852f28baaa","Володимир","Чорнобильська асоціація народних депутатів України","1488798391492","40827389","Громадське об’єднання","1488798391492",NA,NA
