"fullname","office","position","id","last_name","is_corrected","patronymic","created_date","document_type","source","url","first_name","dnt_costDate_hidden","costDate","dnt_objectType_encoded","model","otherObjectType","owningDate","dnt_graduationYear_hidden","object_identificationNumber_extendedstatus","person","graduationYear","iteration","brand","objectType","object_id","ownershipType","otherOwnership","percent.ownership","costDate_extendedstatus","model_extendedstatus","brand_extendedstatus","typeProperty","otherTypeProperty","graduationYear_extendedstatus","declarant","subjectRelation"
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","TRUE",0,"car","CAYENNE","",2012-02-21,"FALSE",NA,"1","2011","1476878212539","PORSCHE","Автомобіль легковий","1476878212539","Власність","",NA,"2",NA,NA,NA,NA,NA,"Абдуллін Олександр Рафкатович",NA
"Абдуллін Олександр Рафкатович","Верховна Рада України","народний депутат України","nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Абдуллін","FALSE","Рафкатович",2018-03-19,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_0eb19361-de3e-46f5-bc4c-ac1b41b2034c","Олександр","FALSE",1640736,"car","GLA 220","",2016-06-25,"FALSE",NA,"1476705147748","2016","1490099484998","MERCEDES-BENZ","Автомобіль легковий","1490099484998","Власність","",NA,NA,NA,NA,NA,NA,NA,"Смоленська Тетяна Ростиславівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","FALSE",132900,"car","Elantra","",2011-10-01,"FALSE",NA,"1476743018040","2011","1476824195276","Hyundai","Автомобіль легковий","1476824195276","Власність","",NA,NA,NA,NA,NA,NA,NA,"Нестор Наталія Володимирівна","дружина"
"Алексєєв Ігор Сергійович","Верховна Рада України","Народний депутат України","nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Алексєєв","FALSE","Сергійович",2018-03-11,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_dc2c2e8f-0996-468d-a931-be081d58fb3a","Ігор","TRUE",0,"car","Pajero Wagon","",2007-12-19,"FALSE",NA,"1","2007","1476825450557","Mitsubishi","Автомобіль легковий","1476825450557","Власність","",NA,"2",NA,NA,NA,NA,NA,"Алексєєв Ігор Сергійович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","TRUE",0,"car","GL450","",2006-07-22,"FALSE",NA,"1","2006","1490883351660","Mercedes-Benz","Автомобіль легковий","1490883351660","Власність","",NA,"2",NA,NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","TRUE",0,"water_transport","","",2012-08-08,"FALSE",NA,"1","2012","1490885840610","BRP RXT 260","Водний засіб","1490885840610","Власність","",NA,"2","1",NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","TRUE",0,"car","Corolla 1.3 I","",2001-07-07,"FALSE",NA,"1490801022966","1997","1490882741229","Toyota","Автомобіль легковий","1490882741229","Власність","",NA,"2",NA,NA,NA,NA,NA,"Алєксєєва  Олена Юріївна","дружина"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","TRUE",0,"other","BOAT 8902.3601","Причіп",2012-07-07,"FALSE",NA,"1","2012","1490885991200","UMS","Інше","1490885991200","Власність","",NA,"2",NA,NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","TRUE",0,"car","Cayenne s","",2007-09-11,"FALSE",NA,"1490801022966","2007","1490882559779","Porsche","Автомобіль легковий","1490882559779","Власність","",NA,"2",NA,NA,NA,NA,NA,"Алєксєєва  Олена Юріївна","дружина"
"Алєксєєв Сергій Олегович","Верховна Рада України","Народний депутат України","nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Алєксєєв","FALSE","Олегович",2018-03-30,"Щорічна","NACP","https://declarations.com.ua/declaration/nacp_5e94d86d-fe76-46be-80f9-fe352c843c71","Сергій","TRUE",0,"car","458 Italiia","",2012-03-27,"FALSE",NA,"1","2011","1490882916331","Ferrari","Автомобіль легковий","1490882916331","Власність","",NA,"2",NA,NA,NA,NA,NA,"Алєксєєв Сергій Олегович",NA
